screen_id,stratum,doi,title,retrieved,pdf_sha256,pages,text_chars,attempts
S16057,any_LIKELY,10.1021/acscatal.2c01339,Subtle Structure Matters: The Vicinity of Surface Ti 5c Cations Alters the Photooxidation Behaviors of Anatase and Rutile TiO 2 under Aqueous Environments,False,,,,0
S26715,any_LIKELY,10.1021/acsenergylett.5c01739,Structure–Activity Relation of the Oxide Path Mechanism for O–O Coupling on Rutile-Based Oxygen Evolution Reaction Catalysts,False,,,,0
R0019,any_LIKELY,10.1002/cctc.201402756,Enhancing Activity for the Oxygen Evolution Reaction: The Beneficial Interaction of Gold with Manganese and Cobalt Oxides,False,,,,0
S08121,any_LIKELY,10.1021/acs.jpcc.9b05707,Linear Correlations between Adsorption Energies and HOMO Levels for the Adsorption of Small Molecules on TiO2 Surfaces,True,7d641d160c1905a3bd81db14ae8304714475a37e15c94552f1c139b746fdde41,43,55811,1
S14704,any_LIKELY,10.1016/j.jcat.2022.02.016,Theoretical and experimental study of the effects of cobalt and nickel doping within IrO2 on the acidic oxygen evolution reaction,False,,,,0
S28757,any_LIKELY,10.1039/d5ee07605f/v2/decision1,"Decision letter for ""TiO2-coated rutile oxide catalysts for acidic oxygen evolution: A design principle""",False,,,,0
S18337,any_LIKELY,10.1002/advs.202207429,Nano Si‐Doped Ruthenium Oxide Particles from Caged Precursors for High‐Performance Acidic Oxygen Evolution,False,,,,2
S28348,both_POSSIBLY,10.33961/jecst.2025.00955,A Review on the Effect of the Surfactants in Anodic Deposition Process of Lead Dioxide Coating,True,d266bb21f02fc59bd8f2f803492cc9efe2a4f518d4661bce98955d0b0cd7b56a,32,103636,1
S22281,both_POSSIBLY,10.1021/jacs.3c12011,Role of Electrolyte pH on Water Oxidation for Iridium Oxides,False,,,,1
S17250,both_POSSIBLY,10.1016/j.ijhydene.2022.10.026,Evaluation of HER and OER electrocatalytic activity over RuO2–Fe2O3 nanocomposite deposited on HrGO nanosheets,False,,,,0
S10144,both_POSSIBLY,10.1007/s10717-020-00245-0,"Physicochemical Properties of Oxide Coatings Based on Ruthenium, Titanium, and Rare-Earth Elements Doped with Carbon Nanomaterials",False,,,,0
S11770,both_POSSIBLY,10.1149/1945-7111/abe8c0,Parameterization and Extension of a Model of Oxide Growth by a Multi-Method Approach,False,,,,1
S11809,both_POSSIBLY,10.1016/j.physo.2021.100059,"Interaction of hydrogen with the bulk, surface and subsurface of crystalline RuO2 from first principles",False,,,,1
S22765,both_POSSIBLY,10.1149/11309.0003ecst,Selectivity Study of Anodic Seawater Electrolysis Catalysts Using the Rotating Ring-Disc Electrode Method,False,,,,0
S25074,both_POSSIBLY,10.1002/celc.202400682,Facile Synthesis Toward Surface Decorated Ir1Ox@Pd35 with Low Iridium Content for Highly Efficient and Durable Proton Exchange Membrane Water Electrolyzer,False,,,,1
S23495,both_POSSIBLY,10.2139/ssrn.4932091,Interfacial Engineering of Ruo2/Coooh Heterojunction for Efficient Oxygen Evolution Reaction,False,,,,0
S00993,both_POSSIBLY,10.4028/www.scientific.net/amr.239-242.2909,Preliminary Study of Oxygen Evolution Ti-Al Composite Anode,False,,,,0
S03082,both_POSSIBLY,10.1149/2.0131611jes,On the Origin of the Improved Ruthenium Stability in RuO2–IrO2Mixed Oxides,False,,,,1
S03630,both_POSSIBLY,,Spectroelectrochemical photoluminescence spectroscopy and imaging of reactive surface defects in titanium dioxide nanoparticles,False,,,,1
S15178,both_POSSIBLY,10.21203/rs.3.rs-1492357/v1,Accelerated Discovery of Oxygen Evolution Electrocatalysts by Machine Learning,True,8f8d0d84a959111ce9bc78ff9d9560daf156defa0a15b6f4b92bc351b3d5effe,25,39305,1
S23875,both_POSSIBLY,10.1021/acs.jpcc.4c04083,Z-Schematic Water Splitting on Photocatalyst Sheets Composed of Transition-Metal-Doped Metal Oxides with Long Wavelength Visible Light Responses and a Conductive Polymer,False,,,,1
S07105,both_POSSIBLY,10.3389/fchem.2019.00067,Activation of Water on MnOx-Nanocluster-Modified Rutile (110) and Anatase (101) TiO2 and the Role of Cation Reduction,True,48d1f7b06cdd85cfdc9f19a9bb15c817c50b462a1030fa9df0ee20b449281bb4,12,66337,1
S14749,both_POSSIBLY,10.1016/j.checat.2022.02.011,Introducing hydrogen bonds in RuO2 boosts acidic OER activity and stability,False,,,,0
S09228,both_POSSIBLY,10.1039/c9dt04156g,Structures of mixed manganese ruthenium oxides (Mn 1−x Ru x )O 2 crystallised under acidic hydrothermal conditions,True,2a92972d2207452aee89de5ea56612bf82370c3b6c92e12c8be8dbadbd661c09,11,43022,2
S22654,both_POSSIBLY,10.3390/ma17092119,Advances in Computational Methods for Modeling Photocatalytic Reactions: A Review of Recent Developments,False,,,,1
S19413,both_POSSIBLY,10.21203/rs.3.rs-3045065/v1,Thin film TiO2/TiN bifunctional interface enables integration of Ni5P4 electro-catalyst with GaInP2/GaAs III-V tandem photoabsorber for stable solar-driven water splitting,True,5449a983c2e80d5c102c654b727bd23f20111574eb4d8110a5ef2596ef2e9e06,17,58413,1
S06091,both_POSSIBLY,10.14279/depositonce-7208,Grazing incidence X-ray diffraction,False,,,,1
S23024,both_POSSIBLY,10.15541/jim20240085,"Effect of Elastic Strains on Adsorption Energy of C, H and O on Transition Metals Oxides",True,7d45dd1f0ba69333a52ab10bcb98b1c8a97d0e6b3753f07f286552dfc39b5f55,11,40856,1
S21441,both_POSSIBLY,10.1002/ange.202316029,Strain‐modulated Ru‐O Covalency in Ru‐Sn Oxide Enabling Efficient and Stable Water Oxidation in Acidic Solution,False,,,,1
S27101,both_POSSIBLY,10.1039/d5dt01547b/v2/decision1,"Decision letter for ""Sm-doped RuO2 electrocatalysts for an acidic oxygen evolution reaction: enhanced activity and stability via electronic structure modulation and oxygen vacancy introduction""",False,,,,0
S19558,both_POSSIBLY,10.1016/s1452-3981(23)14428-2,Preparation of Tin-doped Carbon Hollow Spheres and Their Electrocatalytic activity in Water Electrolysis,False,,,,0
S24814,both_POSSIBLY,10.1039/d4sc08291e,Unravelling the pH-dependent mechanism of ferroelectric polarization on different dynamic pathways of photoelectrochemical water oxidation,False,,,,2
S25788,split,10.1021/acsaem.5c00444,Plasma-Assisted Synthesis in Aqueous Solution to Prepare Ir-Based Nanocatalysts for Oxygen Evolution Reaction in Acidic Conditions,True,7fbad002369202efca081d34d60330c5495b2e5431434ed369aaac0f92d0cb8f,11,49940,2
S26387,split,10.1149/ma2025-01381886mtgabs,Functionally Optimized Low Loading Electrodes for PEM Water Electrolyzers,False,,,,0
S01968,split,10.1039/c0jm03492d,An investigation into the effect of thickness of titanium dioxide and gold–silver nanoparticle titanium dioxide composite thin-films on photocatalytic activity and photo-induced oxygen production in a,True,823740fa1d35e0cb5fb0dbb17add8b0a99940df5c203550f2b7638caea5c6687,10,48569,1
S01394,split,10.1038/ncomms1470,Surfactant-enabled epitaxy through control of growth mode with chemical boundary conditions,True,9ade34bda7b2df8d9190e1ac95435582d8d6150176d77fb9f233b4b31bc43c98,7,45316,1
S24959,split,10.71330/thenucleus.2015.639,Designing a Solar Fuel Device: Light-Harvesting Materials and Catalytic Modules for Artificial Leaf,True,48d1c60dbe7999615a68cc19973a816fb2a54971ec0dfb9a55533620648133d0,8,42521,1
S28962,split,10.26599/nr.2026.94908613,Ultrafast-explosion-driven carbon nanoreactors embedding high-entropy alloy electrocatalysts for efficient oxygen evolution reaction,True,c928a18fb80c44f7e3560672fbdb796bb406dc60fcab4593447b53087e866d67,11,60239,1
S25228,split,10.1007/s11356-025-36174-0,"Treatment of cheese whey wastewater by electrochemical oxidation using BDD, Ti/RuO2-TiO2, and Ti/RuO2-IrO2-Pt anodes: ecotoxicological and energetic evaluation",False,,,,1
S05229,split,10.1007/s40820-017-0176-y,Two-Dimensional Transition Metal Oxide and Chalcogenide-Based Photocatalysts,True,65a605185a4e4d714ad05f2e6ab604e17cd1a2323083295bf8f901ef58d57995,28,126407,2
S27374,split,10.1002/smll.71151,Optimizing Hybrid‐phase IrO 2 Catalysts with Ti for Enhanced Oxygen Evolution Reaction for Proton Exchange Membrane Water Electrolysis (Small 44/2025),False,,,,1
S07331,split,10.1246/bcsj.20190037,"Selective Synthesis and Photocatalytic Oxygen Evolution Activities of Tantalum/Nitrogen-Codoped Anatase, Brookite and Rutile Titanium Dioxide",False,,,,0
S01610,split,10.3390/ma7042697,Versatility of Evaporation-Induced Self-Assembly (EISA) Method for Preparation of Mesoporous TiO2 for Energy and Environmental Applications,False,,,,1
S05081,split,10.5075/epfl-thesis-7975,Demonstration and Characterization of Ladder-Type Conjugated Polymer Photoanode for Direct Light-Driven Water Oxidation,True,86bcc912069906316976bdd3b35cebd79b03a7cf859123361b461d115b818cd4,143,235400,1
S16409,split,10.1016/j.jphotochem.2022.114167,Visible-light photocatalytic oxygen production on a high-entropy oxide by multiple-heterojunction introduction,True,04f1f0589978449ea39b5239e3f1234245fd97801b1749ac43b2dd3fe835414d,25,53725,1
S14304,split,10.1007/s40820-021-00785-2,"Shining Light on Anion-Mixed Nanocatalysts for Efficient Water Electrolysis: Fundamentals, Progress, and Perspectives",False,,,,1
S09588,split,10.31635/ccschem.020.201900096,Predicting the Catalytic Activity of Surface Oxidation Reactions by Ionization Energies,False,,,,0
S21206,split,10.29356/jmcs.v67i4.1998,Microstructures of Binary Oxides with an Inverse Opal Structure Used as Photoelectrodes for Water Splitting,True,65439adca95b61f5c559d7bd49d6ff9dbadaf5df7eff0b40aa5135441e6afd2e,48,126080,1
S13324,split,10.1002/adma.202103812,In Situ Formation of Nano Ni–Co Oxyhydroxide Enables Water Oxidation Electrocatalysts Durable at High Current Densities,True,8c6dc0849610b138ef008fcd28b374c5268ba7b78c16e9ce7a1ef03a87883cb3,28,47136,1
S24714,split,10.1039/d4nh00437j/v1/review1,"Review for ""Spillover of active oxygen intermediates of binary RuO2/Nb2O5 nanowires for highly active and robust acidic oxygen evolution""",False,,,,0
S03471,split,10.58088/ttbh-wy86,"Nanostructured nitrogen and carbon codoped TiO2 thin films: synthesis, structural characterization and optoelectronic properties",False,,,,1
S13464,split,10.1021/acs.jpclett.1c02837,Proton-Coupled Defects Impact O–H Bond Dissociation Free Energies on Metal Oxide Surfaces,True,2a80c7defb3998783b078192c318473707171ad9df18e721134b66d6cd6f3f45,21,38857,1
S03192,split,10.1149/ma2016-02/38/2421,Nanoporous IrO2 catalyst with Ultrahigh Specific Surface Area Synthesized through an Ammoniating Method for Acidic Oxygen Evolution,False,,,,0
S10782,split,10.1016/j.apenergy.2020.115911,Degradation study of a proton exchange membrane water electrolyzer under dynamic operation conditions,False,,,,1
S23178,split,10.53555/sfs.v10i3.2784,Unravelling The Secrets: How Catalyst Reconstruction Redefines Superior Oxygen-Evolving Chemistry,False,,,,1
S09913,split,10.1038/s41467-020-16558-1,Dynamic active-site generation of atomic iridium stabilized on nanoporous metal phosphides for water oxidation,True,9da3fbd69ce3a7e3126adfee7689b70267d321d3dd0ed24e238b4bd45cb7d08a,9,50140,1
S30422,split,10.1016/j.jelechem.2026.120433,"Engineering MXene-based heterostructures for high-efficiency electrocatalytic water splitting: Advances, mechanisms, and future perspectives",False,,,,1
S22578,rescue,10.1002/aenm.202400029,"Regulating the Third Metal to Design and Engineer Multilayered NiFeM (M: Co, Mn, and Cu) Nanofoam Anode Catalysts for Anion‐Exchange Membrane Water Electrolyzers",True,a3d150c973f32abbdd2bcd88028517bbca725a371ff80e6ba92d318de0779330,38,60569,2
S30134,rescue,10.4314/bcse.v40i9.6,Co3O4 supported water hyacinth-based n-doped activated carbon composites as dual electrocatalysts for oxygen and hydrogen evolution,False,,,,1
S13727,rescue,10.1002/aoc.6495,"Electrocatalytic oxygen evolution and antiproliferative activity of Co(III) complexes stabilized by in situ generated bis(5‐furan/phenyl‐1,2,4‐triazole)‐3‐sulfinamide",False,,,,0
S10680,rescue,10.1002/cnma.202000440,Nitrogen‐doped Binary Spinel CuCo2O4/C Nanocomposite: An Efficient Electrocatalyst for Oxygen Evolution Reaction,False,,,,0
S18780,rescue,10.1002/aenm.202204177,Creating Dual Active Sites in Conductive Metal‐Organic Frameworks for Efficient Water Splitting,False,,,,1
S09283,rescue,10.1039/c9nr10943a,Bamboo-like nitrogen-doped porous carbon nanofibers encapsulated nickel–cobalt alloy nanoparticles composite material derived from the electrospun fiber of a bimetal–organic framework as efficient bif,False,,,,0
S12040,rescue,10.1088/2053-1591/abefef,Electrocatalytic property of nitrogen-doped graphite-supported CeO2-CoOx,False,,,,1
S15592,rescue,10.1002/ange.201813000,Remarkable Oxygen‐Evolution Activity of a Perovskite Oxide from the Ca2−xSrxFe2O6−δ Series,False,,,,0
S06016,rescue,10.1002/celc.201800355,Cobalt/Carbon Nanocomposite as Oxygen Evolution Reaction Electrocatalyst,False,,,,0
S18067,rescue,10.3390/nano13030543,CoFe Alloy-Coupled Mo2C Wrapped by Nitrogen-Doped Carbon as Highly Active Electrocatalysts for Oxygen Reduction/Evolution Reactions,False,,,,2
S30867,rescue,10.20517/cs.2025.18,"In situ growth of B, N-doped Fe3C-encapsulated carbon nanotubes on wood-derived carbon for high-performance Zn-air battery electrocatalysts",False,,,,0
S14981,rescue,10.3390/catal12040440,Synergetic Effects of Mixed-Metal Polyoxometalates@Carbon-Based Composites as Electrocatalysts for the Oxygen Reduction and the Oxygen Evolution Reactions,False,,,,1
S06359,rescue,10.1002/smtd.201800214,Bimetallic MOF‐Derived FeCo‐P/C Nanocomposites as Efficient Catalysts for Oxygen Evolution Reaction,False,,,,0
S27465,rescue,10.12795/11441/179127,Dataset for Controlled Formation of CoOOH/Co(III) MOF Active Phase for Boosting Electrocatalytic Alkaline Water Oxidation,False,,,,0
S08631,rescue,10.1038/s41598-019-51979-z,Rapid solvent-evaporation strategy for three-dimensional cobalt-based complex hierarchical architectures as catalysts for water oxidation,True,21bdb67bb121e3024a20e178f8e6b4e6ca021441a6d091120b4284963b0d2a67,8,31965,1
S20707,rescue,10.1016/j.cej.2023.146714,Promotion of borophene/NiO-based electrocatalyst for oxygen evolution reaction,False,,,,0
S23319,rescue,10.1002/cey2.645,"Back Cover Image, Volume 6, Number 7, July 2024",False,,,,0
S27992,rescue,10.56028/aetr.15.1.81.2025,Boosting Oxygen Evolution Reaction Induced by Carbon Sacrificial Strategy Based on FeNi2B@C/NF Core-shell Electrocatalyst,True,7cac714ec57d94338e90388834eafc7676a61edcfb60ba86ee01a68bd543f454,6,16507,1
S10033,rescue,10.1039/d0nr03378b,A facile approach to high-performance trifunctional electrocatalysts by substrate-enhanced electroless deposition of Pt/NiO/Ni on carbon nanotubes,False,,,,0
S02585,rescue,10.1149/ma2014-02/2/69,Invited: Novel Cell Design and Inexpensive Electrocatalysts for Hybrid Lithium-Air Batteries,False,,,,0
S05622,rescue,10.1021/acsami.7b16936,Ancient Chemistry “Pharaoh’s Snakes” for Efficient Fe-/N-Doped Carbon Electrocatalysts,False,,,,0
S10389,rescue,10.1002/adfm.202000593,TpyCo2+‐Based Coordination Polymers by Water‐Induced Gelling Trigged Efficient Oxygen Evolution Reaction,False,,,,0
S16622,rescue,10.3390/catal12040357,Cobalt Phosphotungstate-Based Composites as Bifunctional Electrocatalysts for Oxygen Reactions,False,,,,2
S19247,rescue,10.3390/molecules28114366,Fe-Incorporated Nickel-Based Bimetallic Metal–Organic Frameworks for Enhanced Electrochemical Oxygen Evolution,False,,,,2
S19331,rescue,10.1063/5.0148045,High-efficiency oxygen electrocatalyst for Zn-air batteries on CoMn alloy encapsulated in N-doped carbon architectures,False,,,,1
S01041,sentinel,10.1002/cctc.201100160,Tailoring the Activity for Oxygen Evolution Electrocatalysis on Rutile TiO2(110) by Transition‐Metal Substitution,False,,,,0
S02706,sentinel,10.1021/jp511426q,A Linear Response DFT+ U Study of Trends in the Oxygen Evolution Activity of Transition Metal Rutile Dioxides,False,,,,0
S04757,sentinel,10.1021/acs.jpcc.7b03481,A Theoretical Investigation into the Role of Surface Defects for Oxygen Evolution on RuO2,False,,,,0
S11774,sentinel,10.3389/fenrg.2021.606313,First-Principles Design of Rutile Oxide Heterostructures for Oxygen Evolution Reactions,True,25ff0ba00a56c206a946a26904abe1640a84f4e819a6cbab56d2e456f61cb1b7,7,35487,1
S14849,sentinel,10.1002/cssc.202200015,Epitaxial Core‐Shell Oxide Nanoparticles: First‐Principles Evidence for Increased Activity and Stability of Rutile Catalysts for Acidic Oxygen Evolution,False,,,,1
S24907,sentinel,10.1016/j.jcat.2025.115968,GC-DFT simulation of coverage and potential effect for oxygen evolution reaction on RuO2-based electrocatalyst,False,,,,0
S27382,sentinel,10.1021/acsaem.5c02853,Iridium-Based Materials as an Electrocatalyst in Computational Investigation of Their Performance for Hydrogen and Oxygen Evolution Reactions,False,,,,1
