screen_id,provider_id,doi,title,publication_date,type,venue,first_author,author_count,language,abstract_available,membership,query_indices,raw_page,item_index,raw_sha256
S00011,https://openalex.org/W102867900,,Metal-oxide enrichment and gas-phase characterization of sulfopeptides using Fourier transform ion cyclotron resonance mass spectrometry,2012-01-01,dissertation,Deep Blue (University of Michigan),Katherine E. Hersberger,1,en,True,BOTH,4,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q04_year_2012-01-01_2012-12-31/attempt_000001/page_000001.json,0,bfce9a181e8ad7a0be4c71f443452a5084374bfdc90f5a323b5efada691a2cf8
S00012,https://openalex.org/W1031685110,,Oxidation of ZrB2-TiC-Y2O3 at 1700°C,2011-01-01,article,DigitalCommons@UTEP (The University of Texas at El Paso),Brenda Izabela Santana Mota,1,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2011-01-01_2011-12-31/attempt_000001/page_000001.json,0,8c0e8c9b5956cfc538222d988e28d61ab7e0b33aa8cd184d98fd3bc91ae4a588
S00013,https://openalex.org/W1033664510,10.1016/j.apcatb.2015.06.037,(Au@Ag)@Au double shell nanoparticles loaded on rutile TiO2 for photocatalytic decomposition of 2-propanol under visible light irradiation,2015-06-23,article,Applied Catalysis B: Environmental,Sunao Kamimura,6,en,False,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2015-01-01_2015-12-31/attempt_000001/page_000005.json,88,aedfcf0c87ad40866d4914b3fb38c439ef65c7b5c6d155d127ed86d5a64fe5ea
S00014,https://openalex.org/W1040817959,,Nanostructured metal oxides supported on stainless steel wire meshes : versatile monolithic catalysts for environmental and energy applications,2014-06-20,dissertation,DIGITAL.CSIC (Spanish National Research Council (CSIC)),Thi Tan Vu,1,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2014-01-01_2014-12-31/attempt_000001/page_000005.json,13,f7bf46509e0d1907acc32b8fe2f2ffa1dd4b184436699f45deb1e316e514ee26
S00015,https://openalex.org/W104784487,10.4233/uuid:5c646939-06b3-4768-bd59-947d00417daa,Molecular contamination phenomena in EUVL and mitigation methods with hydrogen,2012-01-01,dissertation,Research Repository (Delft University of Technology),D. Ugur,1,en,True,BOTH,1;4,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2012-01-01_2012-12-31/attempt_000001/page_000001.json,89,07e9fa9c66830c78b0adc814c2039a6446cd27d07cc55137852aa98bade92d64
S00016,https://openalex.org/W108407650,,MAGNESIUM-TITANIUM ALLOYS FOR BIOMEDICAL APPLICATIONS,2014-01-01,article,UKnowledge (University of Kentucky),Ilona Hoffmann,1,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2014-01-01_2014-12-31/attempt_000001/page_000002.json,25,0260b2fc0463c79adb4401a4635fc40af5d4e7dd912d37a7438f3ece00b62054
S00017,https://openalex.org/W109191636,,Development of Strategies to Minimize the Release of Trace Elements from Coal Waste Sources,2012-01-01,article,UKnowledge (University of Kentucky),Mohammad Rezaee,1,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2012-01-01_2012-12-31/attempt_000001/page_000001.json,97,07e9fa9c66830c78b0adc814c2039a6446cd27d07cc55137852aa98bade92d64
S00018,https://openalex.org/W1094679291,10.1016/j.atmosenv.2015.08.013,"Variability of aerosols and chemical composition of PM 10 , PM 2.5 and PM 1 on a platform of the Prague underground metro",2015-08-08,article,Atmospheric Environment,Michael Cusack,8,en,False,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2015-01-01_2015-12-31/attempt_000001/page_000006.json,83,09e44cd60474991c89141eb94b5d6b86a94c754b36117dcfa7856930e8b47b23
S00019,https://openalex.org/W109535434,,Synthesis of ilmenite,2014-01-01,dissertation,BIBSYS Brage (BIBSYS (Norway)),Vincent Canaguier,1,fi,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2014-01-01_2014-12-31/attempt_000001/page_000001.json,94,0d7b7a4d52a9e15e79404b8b968163ef264cf998bbfa4b464c87082b2e3edabc
S00020,https://openalex.org/W109735338,10.1522/030260929,"Caracterisation d'une mineralisation aurifere centree sur une breche intrusive, propriete Dubuisson, Val d'Or, Quebec, Canada /",2011-01-01,book,,Patrice Barbe,1,fr,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2011-01-01_2011-12-31/attempt_000001/page_000001.json,49,8c0e8c9b5956cfc538222d988e28d61ab7e0b33aa8cd184d98fd3bc91ae4a588
S00021,https://openalex.org/W110019897,,Nano TiO2/Graphene Composites for Photovoltaic and Photocatalytic Materials,2012-01-01,article,Scholarship@Western (Western University),Nasrin Farhangi,1,en,True,BOTH,1;4,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2012-01-01_2012-12-31/attempt_000001/page_000001.json,98,07e9fa9c66830c78b0adc814c2039a6446cd27d07cc55137852aa98bade92d64
S00022,https://openalex.org/W1103832313,10.1038/srep11121,Effects of the interaction between TiO2 with different percentages of exposed {001} facets and Cu2+ on biotoxicity in Daphnia magna,2015-08-05,article,Scientific Reports,Lingling Liu,4,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2015-01-01_2015-12-31/attempt_000001/page_000006.json,78,09e44cd60474991c89141eb94b5d6b86a94c754b36117dcfa7856930e8b47b23
S00023,https://openalex.org/W111074743,10.3133/sir20105070e,Stratiform chromite deposit model,2012-01-01,report,Scientific investigations report,Ruth F. Schulte,4,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2012-01-01_2012-12-31/attempt_000001/page_000002.json,33,e22e3bf0ed56f3b276d00f0b1c35f3302f4a19e3ae9c04803596bca39b45e8a2
S00024,https://openalex.org/W112676386,,Surface Plasmonic Core-Shell Particles for Solar Energy Harvesting,2014-06-16,article,D-Scholarship@Pitt (University of Pittsburgh),Bo Ding,1,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2014-01-01_2014-12-31/attempt_000001/page_000005.json,8,f7bf46509e0d1907acc32b8fe2f2ffa1dd4b184436699f45deb1e316e514ee26
S00025,https://openalex.org/W113108479,,Dégradation photochimique et photocatalytique en solutions aqueuses de composés pharmaceutiques et de soins personnels (PPSP) : application à l'aténolol et à l'acide 2-phenylbenzimidazole-5-sulfonique,2014-05-19,dissertation,HAL (Le Centre pour la Communication Scientifique Directe),Yuefei Ji,1,en,True,BOTH,1;4,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2014-01-01_2014-12-31/attempt_000001/page_000004.json,82,7e4b55dcf7099e849c7be9c5cb5033d926c406e20b18e599b36f881c20353306
S00026,https://openalex.org/W11326823,10.1180/minmag.2013.077.5.8,Rare Earth Elements in the surface Ocean under the Saharan dust belt,2013-01-01,article,Helmholtz-Zentrum für Polar-und Meeresforschung (Alfred-Wegener-Institut),Ed C. Hathorne,5,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2013-01-01_2013-12-31/attempt_000001/page_000001.json,0,04a9afe721bb9a78af3fa50c2c3132d3405e1c5098a076183d0da2ee8a3877d1
S00027,https://openalex.org/W113293200,,"Stable Isotopes and XRD Investigation of Gold Mineralization at the Syenite-Hosted Young-Davidson Deposit, Matachewan, Ontario",2012-01-01,article,Scholarship@Western (Western University),Niloufar Naderi,1,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2012-01-01_2012-12-31/attempt_000001/page_000002.json,11,e22e3bf0ed56f3b276d00f0b1c35f3302f4a19e3ae9c04803596bca39b45e8a2
S00028,https://openalex.org/W1133748379,10.1016/j.electacta.2015.08.027,Carbon Supported Noble Metal (Pd and Au) Catalysts Synthesized by an Oxide Route with High Performance for Oxygen Reduction in Acidic Media,2015-08-12,article,Electrochimica Acta,José L. Fernández,3,en,False,BOTH,2,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q02_year_2015-01-01_2015-12-31/attempt_000001/page_000002.json,9,d25537f99e5ed9e08d214e9509bc88134f26e720eee0533222f49dbacb33f836
S00029,https://openalex.org/W1135792483,10.1016/j.oregeorev.2015.07.022,Unraveling rare earth element signatures in hydrothermal carbonate minerals using a source–sink system,2015-07-29,article,Ore Geology Reviews,David Debruyne,3,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2015-01-01_2015-12-31/attempt_000001/page_000006.json,52,09e44cd60474991c89141eb94b5d6b86a94c754b36117dcfa7856930e8b47b23
S00030,https://openalex.org/W1137078311,10.1016/j.oregeorev.2015.06.023,"Principal component analysis of magnetite composition from volcanogenic massive sulfide deposits: Case studies from the Izok Lake (Nunavut, Canada) and Halfmile Lake (New Brunswick, Canada) deposits",2015-07-05,article,Ore Geology Reviews,Sheida Makvandi,6,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2015-01-01_2015-12-31/attempt_000001/page_000006.json,17,09e44cd60474991c89141eb94b5d6b86a94c754b36117dcfa7856930e8b47b23
S00031,https://openalex.org/W114313555,,Evaluation par nanoindentation des propriétés mécaniques locales d’alliages de titane superélastiques et à mémoire de forme,2014-11-07,dissertation,HAL (Le Centre pour la Communication Scientifique Directe),Cécile Fizanne,1,fr,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2014-01-01_2014-12-31/attempt_000001/page_000007.json,12,aded8857e3f549473bb7d1648b3532f70332e14894de597dcefb74c985b0370d
S00032,https://openalex.org/W114471378,10.4233/uuid:0d10c8b5-102a-4be7-9b3c-1d0aa434adf1,Destabilization of magnesium hydride through interface engineering,2013-01-01,dissertation,Research Repository (Delft University of Technology),Lennard Mooij,1,en,True,BOTH,1;4,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2013-01-01_2013-12-31/attempt_000001/page_000002.json,25,b3e2028c1ec5c4b78c20035c5297470a5ab658887386e79ac8f71c469b123ce4
S00033,https://openalex.org/W1145608098,10.3990/1.9789036538954,Visible-light-induced water splitting on a chip,2015-04-28,dissertation,,Michel G. C. Zoontjes,1,en,True,BOTH,3,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q03_year_2015-01-01_2015-12-31/attempt_000001/page_000001.json,57,d5bd12a22ce95c658cecb8fc95fc6c25df50d319a81bc37d9d959a0bbd49d715
S00034,https://openalex.org/W11592596,,Rational Design of Perovskite Based Anode Materials For Solid Oxide Fuel Cells: A Computational Approach,2013-01-01,article,Scholar Commons (University of South Carolina),Suwit Suthirakun,1,en,True,BOTH,4,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q04_year_2013-01-01_2013-12-31/attempt_000001/page_000001.json,18,fa3388d7b848b6aefad29194f8283ccb03a21effd31f0d10ab701f3d8aa09627
S00035,https://openalex.org/W117415943,,Electrocatalysts for medium temperature PEM water electrolysis,2013-01-01,dissertation,NORA - Norwegian Open Research Archives,Agnieszka Zlotorowicz,1,en,True,BOTH,2;3,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q02_year_2013-01-01_2013-12-31/attempt_000001/page_000001.json,0,e0b6163034575b112631fb07e811a2f9b03a08bcc1325b5b26f3ace6fa1c3bab
S00036,https://openalex.org/W1178205619,10.1038/srep13354,Modulation of protein behavior through light responses of TiO2 nanodots films,2015-08-26,article,Scientific Reports,Kui Cheng,6,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2015-01-01_2015-12-31/attempt_000001/page_000007.json,9,c87cd07b1ae0162c9596fb991f551758043d4211fe0b57817c1e68179fcf1587
S00037,https://openalex.org/W1184737082,10.37099/mtu.dc.etds/961,FABRICATION OF DRUG ELUTING TI IMPLANTS FOR DENTAL/ORTHOPEDIC APPLICATIONS,2014-01-01,dissertation,,Azhang Hamlekhan,1,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2014-01-01_2014-12-31/attempt_000001/page_000002.json,16,0260b2fc0463c79adb4401a4635fc40af5d4e7dd912d37a7438f3ece00b62054
S00038,https://openalex.org/W1186952063,,Advanced Functional Materials for Energy Related Applications,2015-01-01,dissertation,eScholarship (California Digital Library),Koroush Sasan,1,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2015-01-01_2015-12-31/attempt_000001/page_000001.json,1,16cc00a6a1807d96aa3c570e73ec468aff772f099dd4beb3cbdb55dccf02969a
S00039,https://openalex.org/W119116241,,Integrated experimental and theoretical study of surface properties of TiO2 nanoparticles.,2012-01-01,dissertation,IrInSubria (University of Insubria),Chiara Deiana,1,en,True,BOTH,1;4,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2012-01-01_2012-12-31/attempt_000001/page_000001.json,1,07e9fa9c66830c78b0adc814c2039a6446cd27d07cc55137852aa98bade92d64
S00040,https://openalex.org/W1193715893,,Understanding Titanium Dioxide Passivation on Silicon Photoanodes in Photoelectrochemical Cells,2015-07-02,dissertation,Research Repository (Delft University of Technology),J.A. Bras,1,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2015-01-01_2015-12-31/attempt_000001/page_000006.json,11,09e44cd60474991c89141eb94b5d6b86a94c754b36117dcfa7856930e8b47b23
S00041,https://openalex.org/W1194728652,,Optimization of Aggregating agents and SERS Substrates for SERS detection of Cotinine and trans 3'-hydroxycotinine,2015-01-01,dissertation,Digital Commons - University of South Florida (University of South Florida),Sungyub Han,1,en,True,BOTH,4,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q04_year_2015-01-01_2015-12-31/attempt_000001/page_000001.json,28,673209a1dae636dad0fc484c1529e096c70d4d3758769a3d5a71003ec7a6c33c
S00042,https://openalex.org/W1198008732,10.1016/j.gr.2015.07.015,"Granites of the intracontinental termination of a magmatic arc: an example from the Ediacaran Araçuaí orogen, southeastern Brazil",2015-08-29,article,Gondwana Research,Leonardo Gonçalves,7,en,False,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2015-01-01_2015-12-31/attempt_000001/page_000007.json,17,c87cd07b1ae0162c9596fb991f551758043d4211fe0b57817c1e68179fcf1587
S00043,https://openalex.org/W1200183159,10.1016/j.gsf.2015.07.006,The giant Kalgoorlie Gold Field revisited,2015-08-18,article,Geoscience Frontiers,Noreen M. Vielreicher,3,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2015-01-01_2015-12-31/attempt_000001/page_000006.json,95,09e44cd60474991c89141eb94b5d6b86a94c754b36117dcfa7856930e8b47b23
S00044,https://openalex.org/W120032410,,Nanostructured Electrocatalysts for Triglyceride Hydrogenation.,2011-01-01,dissertation,Deep Blue (University of Michigan),Adam C. Lausche,1,en,True,BOTH,2;3,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q02_year_2011-01-01_2011-12-31/attempt_000001/page_000001.json,0,0b0ad1086364b6bde1707f03e4294a1846d61008fccee1d54d4c17592d4090f3
S00045,https://openalex.org/W120065228,,"Synthesis and physical properties of hetero-substituted-HATNs and their Cu(I) and Re(I) complexes : a thesis presented in partial fulfilment of the requirements for the degree of Doctor of Philosophy in Chemistry at Massey University, Palmerston North",2013-01-01,dissertation,Massey Research Online (Massey University),N.D. Parker,1,en,True,BOTH,4,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q04_year_2013-01-01_2013-12-31/attempt_000001/page_000001.json,0,fa3388d7b848b6aefad29194f8283ccb03a21effd31f0d10ab701f3d8aa09627
S00046,https://openalex.org/W1201539437,10.1016/j.oregeorev.2015.07.009,"The Au-bearing vein system of the Limarinho deposit (northern Portugal): Genetic constraints from Bi-chalcogenides and Bi–Pb–Ag sulfosalts, fluid inclusions and stable isotopes",2015-07-18,article,Ore Geology Reviews,M. Fuertes-Fuente,6,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2015-01-01_2015-12-31/attempt_000001/page_000006.json,36,09e44cd60474991c89141eb94b5d6b86a94c754b36117dcfa7856930e8b47b23
S00047,https://openalex.org/W1204070144,10.1016/j.jmat.2015.07.005,Effect of surface composition on electronic properties of methylammonium lead iodide perovskite,2015-07-23,article,Journal of Materiomics,Wei Geng,7,en,True,BOTH,4,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q04_year_2015-01-01_2015-12-31/attempt_000001/page_000001.json,82,673209a1dae636dad0fc484c1529e096c70d4d3758769a3d5a71003ec7a6c33c
S00048,https://openalex.org/W120986941,,Contribution à l'étude de la stabilité des minéraux constitutifs de l'argilité du Callovo-Oxfordien en présence de fer à 90° C,2011-11-15,dissertation,Publications Et Travaux Academiques de Lorraine (Universite de Lorraine),Camille Rivard,1,fr,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2011-01-01_2011-12-31/attempt_000001/page_000004.json,17,f6b9d0c49f29f2b91899dfb30d417883c4fdf168ef0e4ec2d6061c5e8471b52d
S00049,https://openalex.org/W1214356715,10.1016/j.oregeorev.2015.07.010,"The origin of the gold and uranium ores of the Black Reef Formation, Transvaal Supergroup, South Africa",2015-07-18,article,Ore Geology Reviews,Sebastian Fuchs,3,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2015-01-01_2015-12-31/attempt_000001/page_000006.json,37,09e44cd60474991c89141eb94b5d6b86a94c754b36117dcfa7856930e8b47b23
S00050,https://openalex.org/W1218254186,10.1016/j.oregeorev.2015.07.023,"Late Mesozoic molybdenum mineralization on Hainan Island, South China: Geochemistry, geochronology and geodynamic setting",2015-08-12,article,Ore Geology Reviews,Deru Xu,8,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2015-01-01_2015-12-31/attempt_000001/page_000006.json,88,09e44cd60474991c89141eb94b5d6b86a94c754b36117dcfa7856930e8b47b23
S00051,https://openalex.org/W1219437318,10.1063/1.4930188,"Sulfur doping of M/In2O3 (M=Al,W) nanowires with room temperature near infra red emission",2015-09-01,article,AIP Advances,Matthew Zervos,5,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2015-01-01_2015-12-31/attempt_000001/page_000007.json,21,c87cd07b1ae0162c9596fb991f551758043d4211fe0b57817c1e68179fcf1587
S00052,https://openalex.org/W122344535,10.1184/r1/6715337,Contamination- induced Interfacial Resistance in Ohmic Microswitch Contacts,2014-01-01,article,KiltHub Repository,Vitali Brand,1,en,True,BOTH,1;2,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2014-01-01_2014-12-31/attempt_000001/page_000002.json,28,0260b2fc0463c79adb4401a4635fc40af5d4e7dd912d37a7438f3ece00b62054
S00053,https://openalex.org/W1224476737,,Fundamental studies of surfactant templated metal oxide materials synthesis and transformation for adsorption and energy applications,2015-01-01,article,UKnowledge (University of Kentucky),Saikat Das,1,en,True,BOTH,4,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q04_year_2015-01-01_2015-12-31/attempt_000001/page_000001.json,0,673209a1dae636dad0fc484c1529e096c70d4d3758769a3d5a71003ec7a6c33c
S00054,https://openalex.org/W1228514323,10.1016/j.oregeorev.2015.08.023,"SHRIMP U–Pb zircon ages, mineral compositions and geochemistry of placer nephrite in the Yurungkash and Karakash River deposits, West Kunlun, Xinjiang, northwest China: Implication for a Magnesium Skarn",2015-09-02,article,Ore Geology Reviews,Yan Liu,10,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2015-01-01_2015-12-31/attempt_000001/page_000007.json,36,c87cd07b1ae0162c9596fb991f551758043d4211fe0b57817c1e68179fcf1587
S00055,https://openalex.org/W123376117,10.3133/sir20105070k,A deposit model for magmatic iron-titanium-oxide deposits related to Proterozoic massif anorthosite plutonic suite,2013-01-01,report,Scientific investigations report,Laurel G. Woodruff,3,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2013-01-01_2013-12-31/attempt_000001/page_000001.json,1,04a9afe721bb9a78af3fa50c2c3132d3405e1c5098a076183d0da2ee8a3877d1
S00056,https://openalex.org/W123538859,,Evolution des propriétés physico-chimiques et mécaniques de composites à base caoutchoucs lors du photo-vieillissement,2011-11-08,dissertation,Publications Et Travaux Academiques de Lorraine (Universite de Lorraine),Grégory Mertz,1,fr,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2011-01-01_2011-12-31/attempt_000001/page_000004.json,8,f6b9d0c49f29f2b91899dfb30d417883c4fdf168ef0e4ec2d6061c5e8471b52d
S00057,https://openalex.org/W124488315,10.1016/j.gsf.2011.10.006,Neoarchean (2.5–2.8Ga) crustal growth of the North China Craton revealed by zircon Hf isotope: A synthesis,2011-12-17,article,Geoscience Frontiers,Andong Wang,2,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2011-01-01_2011-12-31/attempt_000001/page_000004.json,55,f6b9d0c49f29f2b91899dfb30d417883c4fdf168ef0e4ec2d6061c5e8471b52d
S00058,https://openalex.org/W1251248228,10.23860/thesis-gentes-zoe-2015,Near-Primary Mantle Melts and Their Implications for the Mechanism of Island Arc Basalt Oxidation,2015-01-01,dissertation,,Z. Gentes,1,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2015-01-01_2015-12-31/attempt_000001/page_000002.json,20,6ea9f835a7cffced9aaaca6e33f178f816ea459a4e332ebb8225ee3fcbc77cb5
S00059,https://openalex.org/W125369182,,"Titanium Oxide and Bone Anchorage: Role of the Complement System, and Delivery of Osteoporosis Drugs from Mesoporous TiO2",2014-03-07,dissertation,Gothenburg University Publications Electronic Archive (Gothenburg University),Necati Harmankaya,1,en,True,BOTH,1;4,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2014-01-01_2014-12-31/attempt_000001/page_000003.json,99,f28498774addee8d4f7c37699f104c66663a3e4d77c8f0cb15add3787caea38e
S00060,https://openalex.org/W126028642,,The surface of Mercury: interpreting remote sensing images and spectral signatures,2013-01-30,article,Padua@research (University of Padova),Sabrina Ferrari,1,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2013-01-01_2013-12-31/attempt_000001/page_000003.json,3,6e7909dd7bc4efbf1108381ac383864c64941caaf6f4eed3ae3c78a9aee5e07b
S00061,https://openalex.org/W1274166919,,Advanced electron microscopy characterization of complex oxide interfaces,2015-05-07,dissertation,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas),Gabriel Sánchez‐Santolino,1,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2015-01-01_2015-12-31/attempt_000001/page_000005.json,19,aedfcf0c87ad40866d4914b3fb38c439ef65c7b5c6d155d127ed86d5a64fe5ea
