screen_id,doi,title,publication_date,label_a,label_b,reason_a,reason_b,route,eligibility_status,method_status
S00018,10.1016/j.atmosenv.2015.08.013,"Variability of aerosols and chemical composition of PM 10 , PM 2.5 and PM 1 on a platform of the Prague underground metro",2015-08-08,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,"Aerosol composition in metro platform; unrelated field, no abstract.",Aerosol/PM10 composition in Prague underground metro; unrelated.,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00019,,Synthesis of ilmenite,2014-01-01,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,"Ilmenite synthesis for titanium metallurgy, unrelated field","Synthesis of ilmenite for metallurgical processing, unrelated field.",PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00020,10.1522/030260929,"Caracterisation d'une mineralisation aurifere centree sur une breche intrusive, propriete Dubuisson, Val d'Or, Quebec, Canada /",2011-01-01,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,Gold mineralization geology in Quebec; unrelated field.,"Characterization of gold mineralization in an intrusive breccia, Quebec; geology, unrelated field.",PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00021,,Nano TiO2/Graphene Composites for Photovoltaic and Photocatalytic Materials,2012-01-01,CLEARLY_IRRELEVANT,POSSIBLY_RELEVANT,TiO2/graphene composites for photovoltaic/photocatalytic use; DFT adsorption but no OER.,"DFT(VASP) adsorption-energy study of TiO2-graphene, oxide DFT though not OER-focused.",FULL_TEXT_REVIEW,NOT_DECIDED,NOT_CODED
S00022,10.1038/srep11121,Effects of the interaction between TiO2 with different percentages of exposed {001} facets and Cu2+ on biotoxicity in Daphnia magna,2015-08-05,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,TiO2 nanosheet biotoxicity study; no OER or DFT.,"TiO2 nanosheet biotoxicity in Daphnia magna, no OER",PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00023,10.3133/sir20105070e,Stratiform chromite deposit model,2012-01-01,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,"Chromite deposit model; geology, not electrocatalysis.",Stratiform chromite deposit model; geology.,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00024,,Surface Plasmonic Core-Shell Particles for Solar Energy Harvesting,2014-06-16,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,"Plasmonic core-shell particles for solar cells; photovoltaic, no OER.",Plasmonic core-shell particles for solar cells; unrelated to OER.,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00025,,Dégradation photochimique et photocatalytique en solutions aqueuses de composés pharmaceutiques et de soins personnels (PPSP) : application à l'aténolol et à l'acide 2-phenylbenzimidazole-5-sulfonique,2014-05-19,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,French dissertation on photocatalytic pharmaceutical degradation with TiO2; no OER.,Dissertation on photocatalytic pharmaceutical degradation; rutile TiO2 mentioned but not OER.,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00026,10.1180/minmag.2013.077.5.8,Rare Earth Elements in the surface Ocean under the Saharan dust belt,2013-01-01,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,REE geochemistry in ocean dust; unrelated.,Marine geochemistry of rare earth elements; unrelated field.,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00027,,"Stable Isotopes and XRD Investigation of Gold Mineralization at the Syenite-Hosted Young-Davidson Deposit, Matachewan, Ontario",2012-01-01,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,"Stable isotope/XRD study of gold mineralization; geology, unrelated.",Isotope/XRD study of gold mineralization; unrelated.,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00028,10.1016/j.electacta.2015.08.027,Carbon Supported Noble Metal (Pd and Au) Catalysts Synthesized by an Oxide Route with High Performance for Oxygen Reduction in Acidic Media,2015-08-12,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,"Carbon-supported Pd/Au catalysts for ORR, not OER.",Carbon-supported Pd/Au ORR catalysts; no OER,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00029,10.1016/j.oregeorev.2015.07.022,Unraveling rare earth element signatures in hydrothermal carbonate minerals using a source–sink system,2015-07-29,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,Review of REE signatures in hydrothermal carbonate minerals; unrelated field.,REE signatures in hydrothermal carbonate minerals review; unrelated.,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00030,10.1016/j.oregeorev.2015.06.023,"Principal component analysis of magnetite composition from volcanogenic massive sulfide deposits: Case studies from the Izok Lake (Nunavut, Canada) and Halfmile Lake (New Brunswick, Canada) deposits",2015-07-05,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,PCA of magnetite composition from VMS deposits; unrelated field.,PCA of magnetite composition from VMS ore deposits; unrelated geology.,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00031,,Evaluation par nanoindentation des propriétés mécaniques locales d’alliages de titane superélastiques et à mémoire de forme,2014-11-07,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,Nanoindentation of titanium shape-memory alloys; unrelated field.,Nanoindentation of titanium alloy mechanical properties; unrelated to OER.,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00032,10.4233/uuid:0d10c8b5-102a-4be7-9b3c-1d0aa434adf1,Destabilization of magnesium hydride through interface engineering,2013-01-01,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,Magnesium hydride hydrogen storage thermodynamics; unrelated.,Magnesium hydride hydrogen storage thin-film dissertation; not OER.,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00033,10.3990/1.9789036538954,Visible-light-induced water splitting on a chip,2015-04-28,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,"Dissertation on WO3/Rh:SrTiO3 Z-scheme water splitting; non-rutile, no computation.",Z-scheme WO3/SrTiO3 photoelectrochemical water-splitting dissertation; not rutile OER calculation.,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00034,,Rational Design of Perovskite Based Anode Materials For Solid Oxide Fuel Cells: A Computational Approach,2013-01-01,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,"Computational SOFC anode design using SrTiO3 perovskite; non-rutile, not OER.",Computational SrTiO3 perovskite SOFC anode study; not rutile/OER.,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00035,,Electrocatalysts for medium temperature PEM water electrolysis,2013-01-01,POSSIBLY_RELEVANT,POSSIBLY_RELEVANT,Dissertation on IrO2-based OER anode catalysts (Nb2O5/CeO2 mixed oxides) for PEM electrolysis; rutile OER work.,PEM electrolysis dissertation on IrO2/RuO2/Nb2O5 rutile-oxide OER anodes,FULL_TEXT_REVIEW,NOT_DECIDED,NOT_CODED
S00036,10.1038/srep13354,Modulation of protein behavior through light responses of TiO2 nanodots films,2015-08-26,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,"TiO2 nanodots modulating protein behavior, unrelated",Protein behavior modulation on TiO2 nanodots films; no OER.,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00037,10.37099/mtu.dc.etds/961,FABRICATION OF DRUG ELUTING TI IMPLANTS FOR DENTAL/ORTHOPEDIC APPLICATIONS,2014-01-01,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,Drug-eluting Ti dental/orthopedic implant fabrication,"Drug-eluting Ti dental implants, no OER.",PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00038,,Advanced Functional Materials for Energy Related Applications,2015-01-01,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,"Dissertation on fuel cell/photocatalyst/CO2 reduction materials; no OER, no rutile.",Dissertation on ORR/photocatalyst/CO2 photoreduction catalysts; no OER,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00039,,Integrated experimental and theoretical study of surface properties of TiO2 nanoparticles.,2012-01-01,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,Experimental/theoretical study of TiO2 nanoparticle surface sites via IR; no OER.,"Experimental/theoretical study of TiO2 nanoparticle surface sites, not OER.",PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00040,,Understanding Titanium Dioxide Passivation on Silicon Photoanodes in Photoelectrochemical Cells,2015-07-02,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,TiO2 passivation on silicon photoanodes for PEC water splitting; not OER catalysis focus.,"TiO2 passivation of Si photoanodes dissertation, no OER calc",PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00041,,Optimization of Aggregating agents and SERS Substrates for SERS detection of Cotinine and trans 3'-hydroxycotinine,2015-01-01,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,"SERS substrate optimization dissertation, unrelated field.","SERS substrate optimization dissertation, unrelated to OER",PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00042,10.1016/j.gr.2015.07.015,"Granites of the intracontinental termination of a magmatic arc: an example from the Ediacaran Araçuaí orogen, southeastern Brazil",2015-08-29,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,Geology: granites of Brazilian orogen,Granite petrogenesis of Aracuai orogen; unrelated geology.,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00043,10.1016/j.gsf.2015.07.006,The giant Kalgoorlie Gold Field revisited,2015-08-18,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,Structural geology of a gold field; unrelated.,Kalgoorlie gold field structural geology; unrelated field.,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00044,,Nanostructured Electrocatalysts for Triglyceride Hydrogenation.,2011-01-01,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,Electrocatalysts for triglyceride hydrogenation; not OER.,"electrocatalytic hydrogenation of triglycerides, no OER",PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00045,,"Synthesis and physical properties of hetero-substituted-HATNs and their Cu(I) and Re(I) complexes : a thesis presented in partial fulfilment of the requirements for the degree of Doctor of Philosophy in Chemistry at Massey University, Palmerston North",2013-01-01,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,"dissertation, HATN chemistry","HATN dye complexes synthesis, unrelated",PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00046,10.1016/j.oregeorev.2015.07.009,"The Au-bearing vein system of the Limarinho deposit (northern Portugal): Genetic constraints from Bi-chalcogenides and Bi–Pb–Ag sulfosalts, fluid inclusions and stable isotopes",2015-07-18,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,"Gold ore deposit genetic study, geology, unrelated",Geology of Au vein deposit; unrelated field.,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00047,10.1016/j.jmat.2015.07.005,Effect of surface composition on electronic properties of methylammonium lead iodide perovskite,2015-07-23,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,First-principles study of perovskite solar cell surface; no OER,DFT of lead-iodide perovskite surfaces; not an oxide or OER,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00048,,Contribution à l'étude de la stabilité des minéraux constitutifs de l'argilité du Callovo-Oxfordien en présence de fer à 90° C,2011-11-15,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,"Geology; clay-iron interaction dissertation, unrelated field.","Iron-clay mineral interactions for nuclear waste disposal; geology, unrelated.",PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00049,10.1016/j.oregeorev.2015.07.010,"The origin of the gold and uranium ores of the Black Reef Formation, Transvaal Supergroup, South Africa",2015-07-18,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,Geology of gold/uranium ore formation; unrelated field.,Origin of gold/uranium ores in sedimentary formation; unrelated geology.,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00050,10.1016/j.oregeorev.2015.07.023,"Late Mesozoic molybdenum mineralization on Hainan Island, South China: Geochemistry, geochronology and geodynamic setting",2015-08-12,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,"Molybdenum mineralization geochronology, unrelated field.","Molybdenum mineralization geochemistry and geochronology; geology, not electrocatalysis.",PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00051,10.1063/1.4930188,"Sulfur doping of M/In2O3 (M=Al,W) nanowires with room temperature near infra red emission",2015-09-01,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,Sulfur-doped In2O3 nanowire photoluminescence; not OER.,In2O3 nanowire sulfur doping; unrelated to OER.,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00052,10.1184/r1/6715337,Contamination- induced Interfacial Resistance in Ohmic Microswitch Contacts,2014-01-01,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,RuO2 ohmic microswitch contact degradation study; unrelated to OER.,RuO2 ohmic microswitch contact degradation; unrelated to OER.,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00053,,Fundamental studies of surfactant templated metal oxide materials synthesis and transformation for adsorption and energy applications,2015-01-01,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,Dissertation on surfactant-templated metal oxide/titania thin films; not OER.,Synthesis of surfactant-templated mesoporous titania thin films; no OER.,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00054,10.1016/j.oregeorev.2015.08.023,"SHRIMP U–Pb zircon ages, mineral compositions and geochemistry of placer nephrite in the Yurungkash and Karakash River deposits, West Kunlun, Xinjiang, northwest China: Implication for a Magnesium Skarn",2015-09-02,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,Geology/geochemistry of nephrite deposits; unrelated field.,"SHRIMP U-Pb geochronology of placer nephrite, unrelated",PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00055,10.3133/sir20105070k,A deposit model for magmatic iron-titanium-oxide deposits related to Proterozoic massif anorthosite plutonic suite,2013-01-01,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,Geologic Fe-Ti-oxide ore deposit model; unrelated field.,Fe-Ti-oxide magmatic deposit model; geology.,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00056,,Evolution des propriétés physico-chimiques et mécaniques de composites à base caoutchoucs lors du photo-vieillissement,2011-11-08,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,Photo-aging of rubber composites with TiO2 filler; unrelated field.,Photo-aging of TiO2-filled rubber composites; unrelated to OER,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00057,10.1016/j.gsf.2011.10.006,Neoarchean (2.5–2.8Ga) crustal growth of the North China Craton revealed by zircon Hf isotope: A synthesis,2011-12-17,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,Zircon Hf-isotope crustal growth geology,Zircon Hf isotope crustal growth study; unrelated geology.,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00058,10.23860/thesis-gentes-zoe-2015,Near-Primary Mantle Melts and Their Implications for the Mechanism of Island Arc Basalt Oxidation,2015-01-01,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,"Geochemistry of arc basalt melt inclusions; geology, unrelated.","Near-primary mantle melt geochemistry; geology, unrelated.",PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00059,,"Titanium Oxide and Bone Anchorage: Role of the Complement System, and Delivery of Osteoporosis Drugs from Mesoporous TiO2",2014-03-07,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,TiO2 bone anchorage and drug delivery from mesoporous TiO2; unrelated to OER.,"TiO2 bone anchorage/drug delivery thesis, no OER.",PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00060,,The surface of Mercury: interpreting remote sensing images and spectral signatures,2013-01-30,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,"Remote sensing of Mercury surface; geology, unrelated field.",Remote sensing of Mercury surface composition; unrelated field.,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00061,,Advanced electron microscopy characterization of complex oxide interfaces,2015-05-07,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,"Electron microscopy of complex oxide interfaces (TiO2, SrTiO3); no OER/electrocatalysis.","Electron microscopy of complex oxide interfaces (TiO2, SrTiO3); no OER.",PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00062,,Optical properties of vanadium oxide nanostructures synthesized by laser pyrolysis,2012-02-28,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,Optical properties of laser-pyrolysis VO2-x nanostructures; no OER.,VO2-x optical properties via laser pyrolysis; no electrocatalysis,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00063,10.1016/j.carbon.2015.07.063,Three-dimensional porous carbon nanofiber networks decorated with cobalt-based nanoparticles: A robust electrocatalyst for efficient water oxidation,2015-07-18,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,Carbon nanofiber-cobalt OER electrocatalyst; not rutile oxide,Cobalt-based carbon nanofiber water oxidation catalyst; non-rutile material,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00064,,Monitoring Photocatalytic Degradation of X-ray Contrast Media with Raman Spectroscopy,2012-01-01,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,Raman monitoring of photocatalytic degradation; unrelated to OER.,"Raman monitoring of photocatalytic degradation, no OER",PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00065,,Biomimetic Synthesis of Noble Metal Nanoparticles and Their Applications as Electro-catalysts in Fuel Cells,2012-01-01,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,"Biomimetic Pt nanoparticle fuel cell electrocatalyst dissertation, unrelated","Biomimetic synthesis of Pt-based fuel-cell electrocatalysts; ORR/methanol oxidation, not rutile OER.",PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00066,,METAL NANOPARTICLES FUNCTIONALIZED WITH METAL-LIGAND COVALENT BONDS,2012-01-01,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,"Ru nanoparticle ligand chemistry, brief TiO2 photocatalysis mention; no OER","Ru nanoparticle metal-ligand chemistry dissertation; final TiO2 section is photocatalytic dye reduction, not OER.",PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00067,10.3989/cyv.302014,Materials directed to implants for repairing Central Nervous System,2014-12-30,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,Biomedical implant ceramics for CNS repair; unrelated field.,Materials for CNS implants,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00068,,Nanoparticles in aqueous environments: a physicochemical and ecotoxicological study of cerium dioxide,2011-01-01,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,Ecotoxicology of ceria nanoparticles; unrelated.,Ecotoxicology of ceria nanoparticles; unrelated field.,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00069,,Relation between structure and properties of TiO2 coatings on metallic substrates,2012-04-19,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,"TiO2 coating structure-property dissertation, not OER",Dissertation on TiO2 coatings structure-property relations and photocatalysis; no OER.,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00070,,Rapidly solidified magnesium: nickel alloys as hydrogen storage materials,2014-07-01,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,Mg-Ni alloys as hydrogen storage materials; unrelated field.,Mg-Ni hydrogen storage alloy dissertation; unrelated to OER,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00071,,Localized surface plasmon resonance induced structure-property relationships of metal nanostructures,2013-01-01,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,"Plasmonic nanostructure photoemission study, no OER.",Plasmonic metal nanostructure SERS/photoemission dissertation; not OER.,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00072,,Protein effect on the corrosion behaviour of titanium modified by two surface treatments,2011-01-01,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,Protein effect on titanium corrosion dissertation; unrelated field,Protein effect on corrosion of titanium biomaterial; unrelated to OER.,PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00073,10.25781/kaust-k4tq8,Low-temperature Synthesis of Tin(II) Oxide From Tin(II) ketoacidoximate Precursor,2015-01-01,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,SnO synthesis from precursor; no OER.,"Dissertation on SnO (not rutile SnO2) synthesis, no OER",PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
S00074,10.25781/kaust-wcg86,TiO2/Cu2O composite based on TiO2 NTPC photoanode for photoelectrochemical (PEC) water splitting under visible light,2015-01-01,CLEARLY_IRRELEVANT,CLEARLY_IRRELEVANT,Dissertation on TiO2/Cu2O photoanode for PEC water splitting; no OER computation.,"TiO2/Cu2O PEC water splitting dissertation, purely experimental, no DFT OER calc",PRESCREEN_EXCLUDED,NOT_DECIDED,NOT_CODED
